"subject","test_part","skew","P_A1","O_A1","P_A2","O_A2","P_B1","O_B1","P_B2","O_B2","eva","evb","evd","sda","sdb","sdd","risk_index","response","rt","cho"
"4xf5xlk2","ss","lr",17,18,83,100,84,95,16,165,86.06,106.2,-20.14,30.80188955,25.66242389,5.139465661,1,"j",2019,-1
"4xf5xlk2","cc","ns",61,36,39,123,54,96,46,19,69.93,60.58,9.35,42.43424443,38.37660225,4.057642179,-1,"j",3179,1
"4xf5xlk2","cc","ns",56,163,44,33,59,44,41,144,105.8,85,20.8,64.53030296,49.18333051,15.34697245,1,"f",12893,1
"4xf5xlk2","ss","rl",82,74,18,172,9,24,91,120,91.64,111.36,-19.72,37.65037052,27.473449,10.17692152,-1,"f",2860,-1
"4xf5xlk2","cc","rl",91,55,9,136,18,35,82,56,62.29,52.22,10.07,23.18072259,8.067936539,15.11278606,1,"f",9343,1
"4xf5xlk2","cc","ns",42,2,58,51,54,53,46,26,30.42,40.58,-10.16,24.18436685,13.45673066,10.72763619,-1,"f",2249,-1
"4xf5xlk2","ss","lr",9,9,91,82,95,51,5,123,75.43,54.6,20.83,20.89126851,15.6920362,5.199232314,-1,"j",3812,1
"4xf5xlk2","ss","ns",43,99,57,10,57,83,43,3,48.27,48.6,-0.33,44.06174191,39.60606014,4.455681766,1,"j",4453,-1
"4xf5xlk2","cc","lr",92,48,8,11,16,36,84,23,45.04,25.08,19.96,10.03784838,4.765878723,5.271969652,1,"f",7778,1
"4xf5xlk2","ss","lr",86,79,14,27,89,69,11,96,71.72,71.97,-0.25,18.04332564,8.448023437,9.595302198,-1,"f",4935,-1
"4xf5xlk2","cc","rl",86,80,14,200,19,23,81,90,96.8,77.27,19.53,41.63844377,26.28416063,15.35428315,-1,"j",6974,1
"4xf5xlk2","ss","lr",12,2,88,77,17,69,83,43,68,47.42,20.58,24.37211521,9.766452785,14.60566243,-1,"f",1652,-1
"4xf5xlk2","ss","lr",16,26,84,120,19,175,81,113,104.96,124.78,-19.82,34.46096923,24.3226561,10.13831312,1,"j",2317,-1
